"학교급별(1)",2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023
"학교급별(1)",도서관 수 (개),1관당 장서 수 (권),1관당 사서직원 수 (명),1관당 방문자 수 (명),1관당 예산액 (천원),도서관 수 (개),1관당 장서 수 (권),1관당 사서직원 수 (명),1관당 방문자 수 (명),1관당 예산액 (천원),도서관 수 (개),1관당 장서 수 (권),1관당 사서직원 수 (명),1관당 방문자 수 (명),1관당 예산액 (천원),도서관 수 (개),1관당 장서 수 (권),1관당 사서직원 수 (명),1관당 방문자 수 (명),1관당 예산액 (천원),도서관 수 (개),1관당 장서 수 (권),1관당 사서직원 수 (명),1관당 방문자 수 (명),1관당 예산액 (천원),도서관 수 (개),1관당 장서 수 (권),1관당 사서직원 수 (명),1관당 방문자 수 (명),1관당 예산액 (천원),도서관 수 (개),1관당 장서 수 (권),1관당 사서직원 수 (명),1관당 방문자 수 (명),1관당 예산액 (천원),도서관 수 (개),1관당 장서 수 (권),1관당 사서직원 수 (명),1관당 방문자 수 (명),1관당 예산액 (천원),도서관 수 (개),1관당 장서 수 (권),1관당 사서직원 수 (명),1관당 방문자 수 (명),도서관 수 (개),1관당 장서 수 (권),1관당 사서직원 수 (명),1관당 방문자 수 (명),도서관 수 (개),1관당 장서 수 (권),1관당 사서직원 수 (명),1관당 방문자 수 (명),도서관 수 (개),1관당 장서 수 (권),1관당 사서직원 수 (명),1관당 방문자 수 (명),도서관 수 (개),1관당 장서 수 (권),1관당 사서직원 수 (명),1관당 방문자 수 (명)
"전체",11461,11204,0.36,7387,9980,11506,12142,0.36,6457,11106,11390,13172,0.39,6416,11465,11405,15920,0.43,11735,11396,11495,14395,0.5,6731,9882,11561,14898,0.5,6323,9941,11582,15395,0.5,6111,10439,11644,16902,0.5,5885,10993,11624,16525,0.5,5515,11724,16503,0.51,5230,11787,16663,0.5,1125,11813,16622,0.39,3378,11826,16537,0.39,4509
"초등학교",5966,12069,0.37,10522,9514,6019,13027,0.37,9122,10835,6018,13969,0.41,9196,11109,6018,18447,0.46,19238,13110,6065,15287,0.5,9798,9675,6091,15802,0.5,9271,9850,6108,16285,0.5,9044,10482,6153,14581,0.51,8660,11149,6145,17316,0.51,8390,6209,17280,0.51,8078,6241,17423,0.5,1528,6249,17380,0.41,5227,6248,17279,0.41,7190
"중학교",3088,9972,0.35,3940,9495,3093,10877,0.37,3544,10314,3062,11661,0.39,3229,10751,3086,12584,0.44,3308,10740,3110,12901,0.5,3215,9181,3138,13356,0.5,2858,9157,3141,13817,1,2610,9476,3147,16047,0.5,2428,10011,3140,14944,0.51,2241,3166,14873,0.52,2001,3188,15041,0.51,581,3204,14977,0.41,1450,3213,14923,0.41,1774
"고등학교",2407,10639,0.31,4040,11756,2394,11552,0.32,3521,12809,2310,13099,0.33,3396,13338,2301,13782,0.35,3415,11078,2320,14066,0.4,3427,11362,2332,14613,0.4,3286,11234,2333,15189,0.5,3146,11624,2344,16103,0.46,3240,11901,2339,16571,0.48,2350,2349,16649,0.49,2053,2358,16843,0.46,792,2360,16848,0.32,1098,2365,16769,0.32,1143
